name;model;spec_name;spec_value;spec_value_US;spec_value_INT
Hydraulic Mining;6020B;Rated Speed;1800 min-1 (1,800 rpm) 1800 min-1 (1,800 rpm);['1800', 'min-1'];['(1,800', 'rpm)']
Hydraulic Mining;6020B;Alternator;275A 275A;['275A', '275A'];['275A', '275A']
Hydraulic Mining;6020B;Make and Model;Cat C32 ACERT Cat C32 ACERT;['Cat', 'C32'];['C32', 'ACERT']
Hydraulic Mining;6020B;Components (6);Large fuel tank allows for 24 hour machine operation Large fuel tank allows for 24 hour machine operation;['Large', 'fuel'];['machine', 'operation']
Hydraulic Mining;6020B;Gross Power - SAE J1995;1033 HP 771 kW;['1033', 'HP'];['771', 'kW']
Hydraulic Mining;6020B;Net Power - ISO 9249;1024 HP 764 kW;['1024', 'HP'];['764', 'kW']
Hydraulic Mining;6020B;Net Power - SAE J1349;1019 HP 761 kW;['1019', 'HP'];['761', 'kW']
Hydraulic Mining;6020B;Emissions;Meets Tier 4 Final and Stage V emissions standards Meets Tier 4 Final and Stage V emissions standards;['Meets', 'Tier'];['emissions', 'standards']
Hydraulic Mining;6020B;Net Power - SAE J1349;1019 HP 761 kW;['1019', 'HP'];['761', 'kW']
Hydraulic Mining;6020B;Gross Power - SAE J1995;1033 HP 771 kW;['1033', 'HP'];['771', 'kW']
Hydraulic Mining;6020B;Engine Model;Cat® C32 ACERT™ Cat® C32 ACERT™;['Cat®', 'C32'];['C32', 'ACERT™']
Hydraulic Mining;6030;Engine Output - SAE J1995;1620 HP 1209 kW;['1620', 'HP'];['1209', 'kW']
Hydraulic Mining;6030;Bucket Payload;33 ton (US) 30 t;['33', 'ton'];['30', 't']
Hydraulic Mining;6030;Operating Weight;324 ton (US) 294 t;['324', 'ton'];['294', 't']
Hydraulic Mining;6030;Engine Model;2 x Cat C27 2 x Cat C27;['2', 'x'];['Cat', 'C27']
Hydraulic Mining;6030;Gross Power - SAE J1995;1620 HP 1209 kW;['1620', 'HP'];['1209', 'kW']
Hydraulic Mining;6030;Net Power - SAE J1349;1597 HP 1192 kW;['1597', 'HP'];['1192', 'kW']
Hydraulic Mining;6030;Number of Cylinders - Each Engine;12 12;['12', '12'];['12', '12']
Hydraulic Mining;6030;Bore;5.42 in 137.7 mm;['5.42', 'in'];['137.7', 'mm']
Hydraulic Mining;6030;Stroke;6 in 152.4 mm;['6', 'in'];['152.4', 'mm']
Hydraulic Mining;6030;Displacement;1648 in³ 27 l;['1648', 'in³'];['27', 'l']
Hydraulic Mining;6030;Aspiration;Turbocharged and air-to-air aftercooled Turbocharged and air-to-air aftercooled;['Turbocharged', 'and'];['air-to-air', 'aftercooled']
Hydraulic Mining;6030;Components (1);Hydraulically driven radiator fan with electronically controlled fan speed Hydraulically driven radiator fan with electronically controlled fan speed;['Hydraulically', 'driven'];['fan', 'speed']
Hydraulic Mining;6030;Components (2);Micro processed engine management Micro processed engine management;['Micro', 'processed'];['engine', 'management']
Hydraulic Mining;6030;Components (3);Heavy-duty air filters Heavy-duty air filters;['Heavy-duty', 'air'];['air', 'filters']
Hydraulic Mining;6030;Components (4);Two-stage fuel filter, including water separator Two-stage fuel filter, including water separator;['Two-stage', 'fuel'];['water', 'separator']
Hydraulic Mining;6030;Components (5);Additional high-capacity water separator Additional high-capacity water separator;['Additional', 'high-capacity'];['water', 'separator']
Hydraulic Mining;6030;Fuel Tank Capacity;1342 gal (US) 5080 l;['1342', 'gal'];['5080', 'l']
Hydraulic Mining;6030;Emissions;Meets U.S. EPA Tier 4 Final and EU Stage V emission standards Meets U.S. EPA Tier 4 Final and EU Stage V emission standards;['Meets', 'U.S.'];['emission', 'standards']
Hydraulic Mining;6030;Total Rated Gross Power - SAE J1995;1209 kW 1,800 min-1 (1,620 hp 1,800 min-1) 1209 kW 1,800 min-1 (1,620 hp 1,800 min-1);['1209', 'kW'];['1,800', 'min-1)']
Hydraulic Mining;6030;Make/Model;2 x Cat C27 2 x Cat C27;['2', 'x'];['Cat', 'C27']
Hydraulic Mining;6030;Total Rated Net Power - SAE J1349;1192 kW 1,800 min-1 (1,597 hp 1,800 min-1) 1192 kW 1,800 min-1 (1,597 hp 1,800 min-1);['1192', 'kW'];['1,800', 'min-1)']
Hydraulic Mining;6030;Alternators;2 x 150A 2 x 150A;['2', 'x'];['x', '150A']
Hydraulic Mining;6030;Total Rated Net Power - ISO 3046/1;1194 kW 1,800 min-1 (1,600 hp 1,800 min-1) 1194 kW 1,800 min-1 (1,600 hp 1,800 min-1);['1194', 'kW'];['1,800', 'min-1)']
Hydraulic Mining;6030;Maximum Altitude - Without Deration - At 25° C (77° F) Above Sea Level;1640 ft 500 m;['1640', 'ft'];['500', 'm']
Hydraulic Mining;6030;System Voltage;24V 24V;['24V', '24V'];['24V', '24V']
Hydraulic Mining;6030;Batteries in Series/Parallel Installation;"4 x 210 Ah at 12V each; 420 Ah with 24V in total 4 x 210 Ah at 12V each; 420 Ah with 24V in total";['4', 'x'];['in', 'total']
Hydraulic Mining;6030;Components (1);Battery isolation relays Battery isolation relays;['Battery', 'isolation'];['isolation', 'relays']
Hydraulic Mining;6030;Components (2);Emergency stop switches accessible from ground level and in engine module Emergency stop switches accessible from ground level and in engine module;['Emergency', 'stop'];['engine', 'module']
Hydraulic Mining;6030;Components (3);14 LED high-brightness working flood lights 14 LED high-brightness working flood lights;['14', 'LED'];['flood', 'lights']
Hydraulic Mining;6030;Components (4);11 LED service lights 11 LED service lights;['11', 'LED'];['service', 'lights']
Hydraulic Mining;6030;Batteries;4 maintenance free batteries 4 maintenance free batteries;['4', 'maintenance'];['free', 'batteries']
Hydraulic Mining;6030;6030 FS - Standard Track Pads;3.25 ft 1000 mm;['3.25', 'ft'];['1000', 'mm']
Hydraulic Mining;6030;6030 FS - Operating Weight;648810 lb 294300 kg;['648810', 'lb'];['294300', 'kg']
Hydraulic Mining;6030;6030 FS - Ground Pressure;31.7 psi 21.9 N/cm²;['31.7', 'psi'];['21.9', 'N/cm²']
Hydraulic Mining;6030;6030 - Standard Track Pads;3.25 ft 1000 mm;['3.25', 'ft'];['1000', 'mm']
Hydraulic Mining;6030;6030 - Operating Weight;653660 lb 296500 kg;['653660', 'lb'];['296500', 'kg']
Hydraulic Mining;6030;6030 - Ground Pressure;32 psi 22.1 N/cm²;['32', 'psi'];['22.1', 'N/cm²']
Hydraulic Mining;6030;Hydraulic Tank Capacity - Approximately;660 gal (US) 2500 l;['660', 'gal'];['2500', 'l']
Hydraulic Mining;6030;Total Volume of Hydraulic Oil - Approximately;925 gal (US) 3500 l;['925', 'gal'];['3500', 'l']
Hydraulic Mining;6030;Main Pumps;4 x variable swash plate pumps 4 x variable swash plate pumps;['4', 'x'];['plate', 'pumps']
Hydraulic Mining;6030;Main Pumps - Maximum Oil Flow - Diesel Version;4 x 552 L/min (4 x 146 gal/min) 4 x 552 L/min (4 x 146 gal/min);['4', 'x'];['146', 'gal/min)']
Hydraulic Mining;6030;Maximum Pressure - Attachment;4495 psi 310 bar;['4495', 'psi'];['310', 'bar']
Hydraulic Mining;6030;Maximum Pressure - Travel;5220 psi 360 bar;['5220', 'psi'];['360', 'bar']
Hydraulic Mining;6030;Swing Pumps;2 x reversible swash plate double pumps 2 x reversible swash plate double pumps;['2', 'x'];['double', 'pumps']
Hydraulic Mining;6030;Swing Pumps - Maximum Oil Flow - Diesel Version;4 x 197 L/min (4 x 52 gal/min) 4 x 197 L/min (4 x 52 gal/min);['4', 'x'];['52', 'gal/min)']
Hydraulic Mining;6030;Maximum Pressure - Swing Pumps;5080 psi 350 bar;['5080', 'psi'];['350', 'bar']
Hydraulic Mining;6030;Main Pumps - Maximum Oil Flow - AC Version;4 x 543 L/min (4 x 143 gal/min) 4 x 543 L/min (4 x 143 gal/min);['4', 'x'];['143', 'gal/min)']
Hydraulic Mining;6030;Oil Flow of Cooling Pumps - Diesel Version;2 x 467 L/min (2 x 123 gal/min) 2 x 467 L/min (2 x 123 gal/min);['2', 'x'];['123', 'gal/min)']
Hydraulic Mining;6030;Diameter - Fan;48 in 1200 mm;['48', 'in'];['1200', 'mm']
Hydraulic Mining;6030;Diameter - Fan;2 x 1220 mm (2 x 48 in) 2 x 1220 mm (2 x 48 in);['2', 'x'];['48', 'in)']
Hydraulic Mining;6030;Swing Drive;2 compact planetary transmissions with axial piston motors 2 compact planetary transmissions with axial piston motors;['2', 'compact'];['piston', 'motors']
Hydraulic Mining;6030;Parking Brakes;Wet multiple-disc brake, spring-loaded/hydraulically released Wet multiple-disc brake, spring-loaded/hydraulically released;['Wet', 'multiple-disc'];['spring-loaded/hydraulically', 'released']
Hydraulic Mining;6030;Maximum Swing Speed - Diesel Version;4.6 r/min 4.6 r/min;['4.6', 'r/min'];['4.6', 'r/min']
Hydraulic Mining;6030;Swing Ring;Triple-race roller bearing with sealed internal gearing Triple-race roller bearing with sealed internal gearing;['Triple-race', 'roller'];['internal', 'gearing']
Hydraulic Mining;6030;Maximum Swing Speed - AC Version;5 r/min 5 r/min;['5', 'r/min'];['5', 'r/min']
Hydraulic Mining;6030;Travel Speed - 1st Stage - Maximum;0.87 mile/h 1.4 km/h;['0.87', 'mile/h'];['1.4', 'km/h']
Hydraulic Mining;6030;Travel Speed - 2nd Stage - Maximum;1.68 mile/h 2.7 km/h;['1.68', 'mile/h'];['2.7', 'km/h']
Hydraulic Mining;6030;Maximum Tractive Force;367880 lb 1637 kN;['367880', 'lb'];['1637', 'kN']
Hydraulic Mining;6030;Gradeability - Travel Drives - Approximate;50 % 50 %;['50', '%'];['50', '%']
Hydraulic Mining;6030;Track Pads - Each Side;44 44;['44', '44'];['44', '44']
Hydraulic Mining;6030;Bottom Rollers - Each Side;7 7;['7', '7'];['7', '7']
Hydraulic Mining;6030;Support Rollers - Each Side;2 plus a skid plate in between 2 plus a skid plate in between;['2', 'plus'];['in', 'between']
Hydraulic Mining;6030;Travel Drives - Each Side;1 planetary transmission with 2 two-stage axial piston motors 1 planetary transmission with 2 two-stage axial piston motors;['1', 'planetary'];['piston', 'motors']
Hydraulic Mining;6030;Parking Brakes;Wet multiple disc brake, spring loaded/hydraulically released Wet multiple disc brake, spring loaded/hydraulically released;['Wet', 'multiple'];['loaded/hydraulically', 'released']
Hydraulic Mining;6030;Components (1);All running surfaces of sprockets, idlers, rollers and pad links, as well as teeth contact areas of sprocket and pad links, are hardened All running surfaces of sprockets, idlers, rollers and pad links, as well as teeth contact areas of sprocket and pad links, are hardened;['All', 'running'];['are', 'hardened']
Hydraulic Mining;6030;Components (2);Cast double-grouser combined pad-links with bushings connected by hardened full floating pins Cast double-grouser combined pad-links with bushings connected by hardened full floating pins;['Cast', 'double-grouser'];['floating', 'pins']
Hydraulic Mining;6030;Components (3);Fully hydraulic self-adjusting track tensioning system with membrane accumulator Fully hydraulic self-adjusting track tensioning system with membrane accumulator;['Fully', 'hydraulic'];['membrane', 'accumulator']
Hydraulic Mining;6030;Components (4);Automatic hydraulic retarder valve to prevent over-speed on downhill travel Automatic hydraulic retarder valve to prevent over-speed on downhill travel;['Automatic', 'hydraulic'];['downhill', 'travel']
Hydraulic Mining;6030;Components (5);Acoustic travel alarm Acoustic travel alarm;['Acoustic', 'travel'];['travel', 'alarm']
Hydraulic Mining;6030;Operator's Eye Level - Approximately;21.33 ft 6.5 m;['21.33', 'ft'];['6.5', 'm']
Hydraulic Mining;6030;Internal Dimensions of Cab - Length;7.22 ft 2200 mm;['7.22', 'ft'];['2200', 'mm']
Hydraulic Mining;6030;Internal Dimensions of Cab - Width;5.25 ft 1600 mm;['5.25', 'ft'];['1600', 'mm']
Hydraulic Mining;6030;Internal Dimensions of Cab - Height;7.05 ft 2150 mm;['7.05', 'ft'];['2150', 'mm']
Hydraulic Mining;6030;Components (1);Under roof mounted heating ventilating and air conditioning system Under roof mounted heating ventilating and air conditioning system;['Under', 'roof'];['conditioning', 'system']
Hydraulic Mining;6030;Components (2);External sun shields at side and rear windows External sun shields at side and rear windows;['External', 'sun'];['rear', 'windows']
Hydraulic Mining;6030;Components (3);Robust instrument panel including large colored BCS screen with transflective technology Robust instrument panel including large colored BCS screen with transflective technology;['Robust', 'instrument'];['transflective', 'technology']
Hydraulic Mining;6030;Components (4);Board Control System (BCS) electronic monitoring and data logging system for vital signs and service data of engines, hydraulic system and lubrication system Board Control System (BCS) electronic monitoring and data logging system for vital signs and service data of engines, hydraulic system and lubrication system;['Board', 'Control'];['lubrication', 'system']
Hydraulic Mining;6030;Components (5);Hydraulically operated 45° access stairway Hydraulically operated 45° access stairway;['Hydraulically', 'operated'];['access', 'stairway']
Hydraulic Mining;6030;Components (6);Emergency egress ladder with ladder cage Emergency egress ladder with ladder cage;['Emergency', 'egress'];['ladder', 'cage']
Hydraulic Mining;6030;Components (7);Switch in seat cushion to automatically neutralize the hydraulic controls when operator leaves the seat Switch in seat cushion to automatically neutralize the hydraulic controls when operator leaves the seat;['Switch', 'in'];['the', 'seat']
Hydraulic Mining;6030;Components (8);Pneumatically cushioned and multi-adjustable comfort seat with lumbar support, seat heating, safety belt, head- and armrests Pneumatically cushioned and multi-adjustable comfort seat with lumbar support, seat heating, safety belt, head- and armrests;['Pneumatically', 'cushioned'];['and', 'armrests']
Hydraulic Mining;6030;Components (9);Roller blinds at all windows Roller blinds at all windows;['Roller', 'blinds'];['all', 'windows']
Hydraulic Mining;6030;Components (10);Windshield with parallel intermittent wiper/washer Windshield with parallel intermittent wiper/washer;['Windshield', 'with'];['intermittent', 'wiper/washer']
Hydraulic Mining;6030;Components (11);All-round safety glass, armored windshield and sliding side window All-round safety glass, armored windshield and sliding side window;['All-round', 'safety'];['side', 'window']
Hydraulic Mining;6030;Components (12);Operator Protective Guards (ISO 10262:1998 Level II Operator Protective Guards (ISO 10262:1998 Level II;['Operator', 'Protective'];['Level', 'II']
Hydraulic Mining;6030;Components (13);Joystick controls integrated in independently adjustable seat consoles Joystick controls integrated in independently adjustable seat consoles;['Joystick', 'controls'];['seat', 'consoles']
Hydraulic Mining;6030;Components (14);Fold-away auxiliary seat with safety belt Fold-away auxiliary seat with safety belt;['Fold-away', 'auxiliary'];['safety', 'belt']
Hydraulic Mining;6030;Capacity - Grease Container;120 gal (US) 450 l;['120', 'gal'];['450', 'l']
Hydraulic Mining;6030;Type (1);Dual-circuit system with hydraulically driven heavy-duty pump and electronic time relay control to adjust the pause/lube times Dual-circuit system with hydraulically driven heavy-duty pump and electronic time relay control to adjust the pause/lube times;['Dual-circuit', 'system'];['pause/lube', 'times']
Hydraulic Mining;6030;Type (2);Connected to the lubrication system are the swing roller bearing with internal gearing and all pivot points of attachment, bucket and cylinders Connected to the lubrication system are the swing roller bearing with internal gearing and all pivot points of attachment, bucket and cylinders;['Connected', 'to'];['and', 'cylinders']
Hydraulic Mining;6030;Type (3);Lubricated pinion for greasing of internal gearing of swing ring Lubricated pinion for greasing of internal gearing of swing ring;['Lubricated', 'pinion'];['swing', 'ring']
Hydraulic Mining;6030;Type (4);System failures displayed by Board Control System System failures displayed by Board Control System;['System', 'failures'];['Control', 'System']
Hydraulic Mining;6030;Type (5);Grease filters (200 µm) between service station and container as well as directly behind grease pump Grease filters (200 µm) between service station and container as well as directly behind grease pump;['Grease', 'filters'];['grease', 'pump']
Hydraulic Mining;6030;Shovel attachment with unique TriPower kinematics ensuring the following main features: (1);Automatic roll-back limiter to prevent material spillage and kinematic assistance to hydraulic forces Automatic roll-back limiter to prevent material spillage and kinematic assistance to hydraulic forces;['Automatic', 'roll-back'];['hydraulic', 'forces']
Hydraulic Mining;6030;Shovel attachment with unique TriPower kinematics ensuring the following main features: (2);Horizontal automatic constant-angle bucket guidance and vertical automatic constant-angle bucket guidance Horizontal automatic constant-angle bucket guidance and vertical automatic constant-angle bucket guidance;['Horizontal', 'automatic'];['bucket', 'guidance']
Hydraulic Mining;6030;Shovel attachment with unique TriPower kinematics ensuring the following main features: (3);Constant boom momentum throughout the whole lift arc and crowd force assistance Constant boom momentum throughout the whole lift arc and crowd force assistance;['Constant', 'boom'];['force', 'assistance']
Hydraulic Mining;6030;All buckets (FS and BH) are equipped with a wear package consisting of: (1);Special liner material covering main wear areas inside and outside of bucket and lip shrouds between teeth Special liner material covering main wear areas inside and outside of bucket and lip shrouds between teeth;['Special', 'liner'];['between', 'teeth']
Hydraulic Mining;6030;All buckets (FS and BH) are equipped with a wear package consisting of: (2);Wing shrouds on side walls and heel shrouds at bottom edges Wing shrouds on side walls and heel shrouds at bottom edges;['Wing', 'shrouds'];['bottom', 'edges']
Hydraulic Mining;6030;Type (1);Catwalks with rails at booms Catwalks with rails at booms;['Catwalks', 'with'];['at', 'booms']
Hydraulic Mining;6030;Type (2);Special wear packages for highly abrasive materials on request Special wear packages for highly abrasive materials on request;['Special', 'wear'];['on', 'request']
Hydraulic Mining;6030;Type (3);Pressure-free lowering of boom (FS and BH) and stick (FS) by means of a float valve Pressure-free lowering of boom (FS and BH) and stick (FS) by means of a float valve;['Pressure-free', 'lowering'];['float', 'valve']
Hydraulic Mining;6030;Type (4);Welding procedures allow for internal counter-welding (double prep weld) wherever possible Welding procedures allow for internal counter-welding (double prep weld) wherever possible;['Welding', 'procedures'];['wherever', 'possible']
Hydraulic Mining;6030;Type (5);Booms and sticks are stress-relieved after welding Booms and sticks are stress-relieved after welding;['Booms', 'and'];['after', 'welding']
Hydraulic Mining;6030;Type (6);Booms and sticks are torsion-resistant, welded box design of high-tensile steel with solid steel castings at pivot areas Booms and sticks are torsion-resistant, welded box design of high-tensile steel with solid steel castings at pivot areas;['Booms', 'and'];['pivot', 'areas']
Hydraulic Mining;6030;Bucket Capacity - Face Shovel (heaped 2:1);21.6 yd³ 16.5 m³;['21.6', 'yd³'];['16.5', 'm³']
Hydraulic Mining;6030;Bucket Capacity - Backhoe (heaped 1:1);22.2 yd³ 17 m³;['22.2', 'yd³'];['17', 'm³']
Hydraulic Mining;6030;Output;1000 kW 1000 kW;['1000', 'kW'];['1000', 'kW']
Hydraulic Mining;6030;Starting current;450% of IN (253% of IN optional) 450% of IN (253% of IN optional);['450%', 'of'];['IN', 'optional)']
Hydraulic Mining;6030;Voltage;6.3 kV ± 10% (other on request) 6.3 kV ± 10% (other on request);['6.3', 'kV'];['on', 'request)']
Hydraulic Mining;6030;Operating Weight - Backhoe;326 t 296 t;['326', 't'];['296', 't']
Hydraulic Mining;6030;Bucket Payload;34 t 30 t;['34', 't'];['30', 't']
Hydraulic Mining;6030;Maximum Breakout Force;214390 lb 954 kN;['214390', 'lb'];['954', 'kN']
AC Hydraulic;6030;Output;1000 kW 1000 kW;['1000', 'kW'];['1000', 'kW']
AC Hydraulic;6030;Type;Squirrel cage induction motor Squirrel cage induction motor;['Squirrel', 'cage'];['induction', 'motor']
AC Hydraulic;6030;Voltage;6.6 kV ± 10% (other on request) 6.6 kV ± 10% (other on request);['6.6', 'kV'];['on', 'request)']
AC Hydraulic;6030;Rated Current IN;110 A (at 6.6 kV) 110 A (at 6.6 kV);['110', 'A'];['6.6', 'kV)']
AC Hydraulic;6030;Frequency;50 Hz (60 Hz on request) 50 Hz (60 Hz on request);['50', 'Hz'];['on', 'request)']
AC Hydraulic;6030;Revolutions;1,500 min-1 (1,800 min-1 at 60 Hz) 1,500 min-1 (1,800 min-1 at 60 Hz);['1,500', 'min-1'];['60', 'Hz)']
AC Hydraulic;6030;Starting current;350% of IN (197% of IN optional) 350% of IN (197% of IN optional);['350%', 'of'];['IN', 'optional)']
AC Hydraulic;6030;Bucket Payload;34 ton (US) 30 t;['34', 'ton'];['30', 't']
AC Hydraulic;6030;Operating Weight;324 ton (US) 294 t;['324', 'ton'];['294', 't']
AC Hydraulic;6030;System Voltage;24 V 24 V;['24', 'V'];['24', 'V']
AC Hydraulic;6030;Batteries (12V each) - In Series/Parallel Installation - Cat Version;"2 X 210 Ah 12 V each; 210 Ah 24 V in total 2 X 210 Ah 12 V each; 210 Ah 24 V in total";['2', 'X'];['in', 'total']
AC Hydraulic;6030;6030 - Standard Track Pads;3.25 ft 1000 mm;['3.25', 'ft'];['1000', 'mm']
AC Hydraulic;6030;6030 - Operating Weight;648810 lb 294300 kg;['648810', 'lb'];['294300', 'kg']
AC Hydraulic;6030;6030 - Ground Pressure;31.7 psi 21.9 N/cm²;['31.7', 'psi'];['21.9', 'N/cm²']
AC Hydraulic;6030;6030 FS - Operating Weight;648810 lb 294300 kg;['648810', 'lb'];['294300', 'kg']
AC Hydraulic;6030;6030 FS - Ground Pressure;31.7 psi 21.9 N/cm²;['31.7', 'psi'];['21.9', 'N/cm²']
AC Hydraulic;6030;6030 FS - Standard Track Pads;3.25 ft 1000 mm;['3.25', 'ft'];['1000', 'mm']
AC Hydraulic;6030;Hydraulic Tank;745 gal (US) 2820 l;['745', 'gal'];['2820', 'l']
AC Hydraulic;6030;Hydraulic System - Including Tank;872 gal (US) 3300 l;['872', 'gal'];['3300', 'l']
AC Hydraulic;6030;Cooling System;25 gal (US) 95 l;['25', 'gal'];['95', 'l']
AC Hydraulic;6030;Swing Drive;20 gal (US) 76 l;['20', 'gal'];['76', 'l']
AC Hydraulic;6030;Grease Tank;119 gal (US) 450 l;['119', 'gal'];['450', 'l']
AC Hydraulic;6030;Main Pumps;4 x variable swash plate pumps 4 x variable swash plate pumps;['4', 'x'];['plate', 'pumps']
AC Hydraulic;6030;Main Pumps - Maximum Oil Flow - AC Version;4 x 543 L/min (4 x 143 gal/min) 4 x 543 L/min (4 x 143 gal/min);['4', 'x'];['143', 'gal/min)']
AC Hydraulic;6030;Maximum Pressure - Attachment;4495 psi 310 bar;['4495', 'psi'];['310', 'bar']
AC Hydraulic;6030;Maximum Pressure - Travel;5220 psi 360 bar;['5220', 'psi'];['360', 'bar']
AC Hydraulic;6030;Swing Pumps;2 x reversible swash plate double pumps 2 x reversible swash plate double pumps;['2', 'x'];['double', 'pumps']
AC Hydraulic;6030;Swing Pumps - Maximum Oil Flow - AC Version;2 x 426 L/min (2 x 113 gal/min) 2 x 426 L/min (2 x 113 gal/min);['2', 'x'];['113', 'gal/min)']
AC Hydraulic;6030;Maximum Pressure - Swing Pumps;5075 psi 350 bar;['5075', 'psi'];['350', 'bar']
AC Hydraulic;6030;Oil Flow of Cooling Pumps - AC Version;2 x 459 L/min (2 x 121 gal/min) 2 x 459 L/min (2 x 121 gal/min);['2', 'x'];['121', 'gal/min)']
AC Hydraulic;6030;Features (1);2 Fans 2 Fans;['2', 'Fans'];['2', 'Fans']
AC Hydraulic;6030;Diameter - Fan;48 in 1220 mm;['48', 'in'];['1220', 'mm']
AC Hydraulic;6030;Features (2);Fan speed is thermostatically controlled Fan speed is thermostatically controlled;['Fan', 'speed'];['thermostatically', 'controlled']
AC Hydraulic;6030;Features (3);Cooling system is fully independent Cooling system is fully independent;['Cooling', 'system'];['fully', 'independent']
AC Hydraulic;6030;Swing Drive;2 compact planetary transmissions with axial piston motors 2 compact planetary transmissions with axial piston motors;['2', 'compact'];['piston', 'motors']
AC Hydraulic;6030;Parking Brakes;Wet multiple-disc brake, spring-loaded/hydraulically released Wet multiple-disc brake, spring-loaded/hydraulically released;['Wet', 'multiple-disc'];['spring-loaded/hydraulically', 'released']
AC Hydraulic;6030;Maximum Swing Speed - AC Version;5 r/min 5 r/min;['5', 'r/min'];['5', 'r/min']
AC Hydraulic;6030;Swing Ring;Triple-race roller bearing with sealed internal gearing Triple-race roller bearing with sealed internal gearing;['Triple-race', 'roller'];['internal', 'gearing']
AC Hydraulic;6030;Features (1);Swing circuit is closed-loop with torque control Swing circuit is closed-loop with torque control;['Swing', 'circuit'];['torque', 'control']
AC Hydraulic;6030;Travel Speed;2 Stages 2 Stages;['2', 'Stages'];['2', 'Stages']
AC Hydraulic;6030;Travel Speed - 1st Stage - Maximum;0.9 mile/h 1.4 km/h;['0.9', 'mile/h'];['1.4', 'km/h']
AC Hydraulic;6030;Travel Speed - 2nd Stage - Maximum;1.7 mile/h 2.7 km/h;['1.7', 'mile/h'];['2.7', 'km/h']
AC Hydraulic;6030;Maximum Tractive Force;367880 lbf 1637 kN;['367880', 'lbf'];['1637', 'kN']
AC Hydraulic;6030;Gradeability - Travel Drives - Approximate;50 % 50 %;['50', '%'];['50', '%']
AC Hydraulic;6030;Track Pads - Each Side;44 44;['44', '44'];['44', '44']
AC Hydraulic;6030;Bottom Rollers - Each Side;7 7;['7', '7'];['7', '7']
AC Hydraulic;6030;Components (1);Cast double-grouser track pads with bushings connected by hardened full floating pins Cast double-grouser track pads with bushings connected by hardened full floating pins;['Cast', 'double-grouser'];['floating', 'pins']
AC Hydraulic;6030;Support Rollers - Each Side;2 plus a skid plate in between 2 plus a skid plate in between;['2', 'plus'];['in', 'between']
AC Hydraulic;6030;Components (2);All running surfaces of sprockets, idlers, rollers and pad links, as well as teeth contact areas of sprocket and pad links, are hardened All running surfaces of sprockets, idlers, rollers and pad links, as well as teeth contact areas of sprocket and pad links, are hardened;['All', 'running'];['are', 'hardened']
AC Hydraulic;6030;Travel Drives - Each Side;1 planetary transmission with 2 two-stage axial piston motors 1 planetary transmission with 2 two-stage axial piston motors;['1', 'planetary'];['piston', 'motors']
AC Hydraulic;6030;Components (3);Fully hydraulic self-adjusting track tensioning system with membrane accumulator Fully hydraulic self-adjusting track tensioning system with membrane accumulator;['Fully', 'hydraulic'];['membrane', 'accumulator']
AC Hydraulic;6030;Parking Brakes;Fully hydraulic self-adjusting track tensioning system with membrane accumulator Fully hydraulic self-adjusting track tensioning system with membrane accumulator;['Fully', 'hydraulic'];['membrane', 'accumulator']
AC Hydraulic;6030;Components (4);1 planetary transmission with 2 two-stage axial piston motors 1 planetary transmission with 2 two-stage axial piston motors;['1', 'planetary'];['piston', 'motors']
AC Hydraulic;6030;Components (5);Automatic hydraulic retarder valve to prevent over-speed on downhill travel Automatic hydraulic retarder valve to prevent over-speed on downhill travel;['Automatic', 'hydraulic'];['downhill', 'travel']
AC Hydraulic;6030;Operator's Eye Level - Approximately;21.33 ft 6.5 m;['21.33', 'ft'];['6.5', 'm']
AC Hydraulic;6030;Internal Dimensions of Cab - Length;7.22 ft 2200 mm;['7.22', 'ft'];['2200', 'mm']
AC Hydraulic;6030;Internal Dimensions of Cab - Width;5.25 ft 1600 mm;['5.25', 'ft'];['1600', 'mm']
AC Hydraulic;6030;Internal Dimensions of Cab - Height;7.05 ft 2150 mm;['7.05', 'ft'];['2150', 'mm']
AC Hydraulic;6030;Components (1);Under roof mounted heating ventilating and air conditioning system Under roof mounted heating ventilating and air conditioning system;['Under', 'roof'];['conditioning', 'system']
AC Hydraulic;6030;Components (2);External sun shields at side and rear windows External sun shields at side and rear windows;['External', 'sun'];['rear', 'windows']
AC Hydraulic;6030;Components (3);Robust instrument panel including large colored BCS screen with transflective technology Robust instrument panel including large colored BCS screen with transflective technology;['Robust', 'instrument'];['transflective', 'technology']
AC Hydraulic;6030;Components (4);Board Control System (BCS) electronic monitoring and data logging system for vital signs and service data of engines, hydraulic system and lubrication system Board Control System (BCS) electronic monitoring and data logging system for vital signs and service data of engines, hydraulic system and lubrication system;['Board', 'Control'];['lubrication', 'system']
AC Hydraulic;6030;Components (5);Powered 38° access ladder Powered 38° access ladder;['Powered', '38°'];['access', 'ladder']
AC Hydraulic;6030;Components (6);Emergency egress safety harness Emergency egress safety harness;['Emergency', 'egress'];['safety', 'harness']
AC Hydraulic;6030;Components (7);Switch in seat cushion to automatically neutralize the hydraulic controls when operator leaves the seat Switch in seat cushion to automatically neutralize the hydraulic controls when operator leaves the seat;['Switch', 'in'];['the', 'seat']
